Time, Value
11:26:36, 50
11:26:37, 60
11:26:38, 60
11:26:39, 41
11:26:40, 43
11:26:41, 41
11:26:42, 41
11:26:43, 61
11:26:44, 70
11:26:45, 84
11:26:46, 88
11:26:47, 88
11:26:48, 64
11:26:49, 56
11:26:50, 60
11:26:51, 63
11:26:52, 83
11:26:53, 84
11:26:54, 77
11:26:55, 91
11:26:56, 94
11:26:57, 90
11:26:58, 83
11:26:59, 64
11:27:00, 66
11:27:01, 69
11:27:02, 80
11:27:03, 88
11:27:04, 93
11:27:05, 84
11:27:06, 83
11:27:07, 66
11:27:08, 50
11:27:09, 40
11:27:10, 43
11:27:11, 63
11:27:12, 47
11:27:13, 70
11:27:14, 69
11:27:15, 40
11:27:16, 56
11:27:17, 44
11:27:18, 40
11:27:19, 56
11:27:20, 51
11:27:21, 48
11:27:22, 51
11:27:23, 38
11:27:24, 40
11:27:25, 30
11:27:26, 23
11:27:27, 44
11:27:28, 44
11:27:29, 44
11:27:30, 43
11:27:31, 61
11:27:32, 54
11:27:33, 54
11:27:34, 54
11:27:35, 54
11:27:36, 54
11:27:37, 35
11:27:38, 27
11:27:39, 21
11:27:40, 37
11:27:41, 48
11:27:42, 63
11:27:43, 61
11:27:44, 70
11:27:45, 64
11:27:46, 54
11:27:47, 50
11:27:48, 29
11:27:49, 21
11:27:50, 35
11:27:51, 47
11:27:52, 61
11:27:53, 87
11:27:54, 78
11:27:55, 74
11:27:56, 56
11:27:57, 44
11:27:58, 40
11:27:59, 29
11:28:00, 43
11:28:01, 53
11:28:02, 60
