Time, PoorSignal, Attention, Meditation
11:26:36, 0, 50, 61
11:26:37, 0, 60, 56
11:26:38, 26, 60, 56
11:26:39, 0, 41, 35
11:26:40, 0, 43, 50
11:26:41, 0, 41, 66
11:26:42, 0, 41, 54
11:26:43, 0, 61, 61
11:26:44, 0, 70, 74
11:26:45, 0, 84, 64
11:26:46, 0, 88, 64
11:26:47, 0, 88, 64
11:26:48, 0, 64, 74
11:26:49, 0, 56, 90
11:26:50, 0, 60, 100
11:26:51, 0, 63, 100
11:26:52, 0, 83, 100
11:26:53, 0, 84, 100
11:26:54, 0, 77, 93
11:26:55, 0, 91, 78
11:26:56, 0, 94, 67
11:26:57, 0, 90, 64
11:26:58, 0, 83, 40
11:26:59, 0, 64, 43
11:27:00, 0, 66, 40
11:27:01, 0, 69, 57
11:27:02, 0, 80, 84
11:27:03, 0, 88, 100
11:27:04, 0, 93, 93
11:27:05, 0, 84, 77
11:27:06, 0, 83, 75
11:27:07, 0, 66, 48
11:27:08, 0, 50, 64
11:27:09, 0, 40, 69
11:27:10, 0, 43, 43
11:27:11, 0, 63, 53
11:27:12, 0, 47, 41
11:27:13, 0, 70, 34
11:27:14, 0, 69, 54
11:27:15, 0, 40, 60
11:27:16, 0, 56, 37
11:27:17, 0, 44, 56
11:27:18, 0, 40, 60
11:27:19, 0, 56, 44
11:27:20, 0, 51, 78
11:27:21, 0, 48, 70
11:27:22, 0, 51, 57
11:27:23, 0, 38, 75
11:27:24, 0, 40, 77
11:27:25, 0, 30, 67
11:27:26, 0, 23, 64
11:27:27, 0, 44, 66
11:27:28, 25, 44, 66
11:27:29, 26, 44, 66
11:27:30, 0, 43, 61
11:27:31, 0, 61, 74
11:27:32, 0, 54, 78
11:27:33, 51, 54, 78
11:27:34, 25, 54, 78
11:27:35, 25, 54, 78
11:27:36, 25, 54, 78
11:27:37, 0, 35, 66
11:27:38, 0, 27, 60
11:27:39, 0, 21, 61
11:27:40, 0, 37, 61
11:27:41, 0, 48, 67
11:27:42, 0, 63, 75
11:27:43, 0, 61, 83
11:27:44, 0, 70, 91
11:27:45, 0, 64, 100
11:27:46, 0, 54, 88
11:27:47, 0, 50, 77
11:27:48, 0, 29, 44
11:27:49, 0, 21, 27
11:27:50, 0, 35, 27
11:27:51, 0, 47, 37
11:27:52, 0, 61, 60
11:27:53, 0, 87, 67
11:27:54, 0, 78, 78
11:27:55, 0, 74, 67
11:27:56, 0, 56, 80
11:27:57, 0, 44, 94
11:27:58, 0, 40, 100
11:27:59, 0, 29, 93
11:28:00, 0, 43, 84
11:28:01, 0, 53, 63
11:28:02, 0, 60, 64
