Time, Value
11:26:36, -34.3
11:26:36, -34.8
11:26:36, -30.4
11:26:36, -39.9
11:26:36, -57.9
11:26:36, -64.6
11:26:36, -57
11:26:36, -45.3
11:26:36, -30.4
11:26:36, -17
11:26:36, -20.1
11:26:36, -31.6
11:26:36, -24.6
11:26:36, -4.28
11:26:36, 2.32
11:26:36, 0.683
11:26:36, 16.4
11:26:36, 42.1
11:26:36, 46.9
11:26:36, 21.6
11:26:36, -12.4
11:26:36, -28
11:26:36, -18.7
11:26:36, -5.4
11:26:36, -8.3
11:26:36, -19.3
11:26:36, -19.1
11:26:36, -6.27
11:26:36, 5.98
11:26:36, 3.91
11:26:36, -16.9
11:26:36, -36.2
11:26:36, -27.5
11:26:36, -4.44
11:26:36, -4.01
11:26:36, -18.1
11:26:36, -2.29
11:26:36, 42.3
11:26:36, 62.4
11:26:36, 32.7
11:26:36, -11.5
11:26:36, -20.2
11:26:36, 20.6
11:26:36, 73.6
11:26:36, 84.1
11:26:36, 47.4
11:26:36, 18.2
11:26:36, 37.3
11:26:36, 85.8
11:26:36, 122
11:26:36, 124
11:26:36, 103
11:26:36, 82.3
11:26:36, 74.3
11:26:36, 60.5
11:26:36, 29.2
11:26:36, 5.97
11:26:36, 17.9
11:26:36, 51.7
11:26:36, 71.1
11:26:36, 55.6
11:26:36, 16.5
11:26:36, -14.6
11:26:36, -16.9
11:26:36, -20.9
11:26:36, -8.46
11:26:36, -0.732
11:26:36, 6.88
11:26:36, 6.75
11:26:36, -7.03
11:26:36, -27
11:26:36, -44.7
11:26:36, -53.6
11:26:36, -47.7
11:26:36, -36.1
11:26:36, -39.3
11:26:36, -52.5
11:26:36, -47.1
11:26:36, -18.6
11:26:36, 4.64
11:26:36, 1.56
11:26:36, -21.2
11:26:36, -37.9
11:26:36, -24.6
11:26:36, 7.29
11:26:36, 11
11:26:36, -32.3
11:26:36, -77.3
11:26:36, -73.7
11:26:36, -31.9
11:26:36, -4.11
11:26:36, -23.4
11:26:36, -67.8
11:26:36, -84.2
11:26:36, -57.3
11:26:36, -33.7
11:26:36, -48.2
11:26:36, -70.6
11:26:36, -64
11:26:36, -43.7
11:26:36, -38.8
11:26:36, -43.2
11:26:36, -37.4
11:26:36, -19.6
11:26:36, -4.5
11:26:36, -12
11:26:36, -44.1
11:26:36, -67.2
11:26:36, -47.2
11:26:36, 0.512
11:26:36, 27
11:26:36, 6.59
11:26:36, -40.5
11:26:36, -66.4
11:26:36, -39.8
11:26:36, 12.5
11:26:36, 31
11:26:36, 1.91
11:26:36, -27.8
11:26:36, -20.4
11:26:36, 9.93
11:26:36, 29.2
11:26:36, 24.9
11:26:36, 11.6
11:26:36, 8.24
11:26:36, 8.87
11:26:36, -6.55
11:26:36, -28.8
11:26:36, -6.41
11:26:36, 17.6
11:26:36, 33.9
11:26:36, 30.3
11:26:36, 14.4
11:26:36, -4.47
11:26:36, -12.1
11:26:36, -3.34
11:26:36, 0.934
11:26:36, -12.6
11:26:36, -19.7
11:26:36, 1.54
11:26:36, 32
11:26:36, 39.6
11:26:36, 18.2
11:26:36, -11.7
11:26:36, -22.6
11:26:36, -6.45
11:26:36, 13.5
11:26:36, 10.9
11:26:36, -5.54
11:26:36, -6.2
11:26:36, 16.9
11:26:36, 42.6
11:26:36, 41.8
11:26:36, -9.32
11:26:36, -132
11:26:36, -337
11:26:36, -581
11:26:36, -748
11:26:36, -753
11:26:36, -648
11:26:36, -567
11:26:36, -561
11:26:36, -577
11:26:36, -550
11:26:36, -463
11:26:36, -330
11:26:36, -190
11:26:36, -97.6
11:26:36, -71.6
11:26:36, -76.5
11:26:36, -77.1
11:26:36, -76.3
