Time, Value
11:26:36, 61
11:26:37, 56
11:26:38, 56
11:26:39, 35
11:26:40, 50
11:26:41, 66
11:26:42, 54
11:26:43, 61
11:26:44, 74
11:26:45, 64
11:26:46, 64
11:26:47, 64
11:26:48, 74
11:26:49, 90
11:26:50, 100
11:26:51, 100
11:26:52, 100
11:26:53, 100
11:26:54, 93
11:26:55, 78
11:26:56, 67
11:26:57, 64
11:26:58, 40
11:26:59, 43
11:27:00, 40
11:27:01, 57
11:27:02, 84
11:27:03, 100
11:27:04, 93
11:27:05, 77
11:27:06, 75
11:27:07, 48
11:27:08, 64
11:27:09, 69
11:27:10, 43
11:27:11, 53
11:27:12, 41
11:27:13, 34
11:27:14, 54
11:27:15, 60
11:27:16, 37
11:27:17, 56
11:27:18, 60
11:27:19, 44
11:27:20, 78
11:27:21, 70
11:27:22, 57
11:27:23, 75
11:27:24, 77
11:27:25, 67
11:27:26, 64
11:27:27, 66
11:27:28, 66
11:27:29, 66
11:27:30, 61
11:27:31, 74
11:27:32, 78
11:27:33, 78
11:27:34, 78
11:27:35, 78
11:27:36, 78
11:27:37, 66
11:27:38, 60
11:27:39, 61
11:27:40, 61
11:27:41, 67
11:27:42, 75
11:27:43, 83
11:27:44, 91
11:27:45, 100
11:27:46, 88
11:27:47, 77
11:27:48, 44
11:27:49, 27
11:27:50, 27
11:27:51, 37
11:27:52, 60
11:27:53, 67
11:27:54, 78
11:27:55, 67
11:27:56, 80
11:27:57, 94
11:27:58, 100
11:27:59, 93
11:28:00, 84
11:28:01, 63
11:28:02, 64
