Time, Value
11:26:36, 21
11:26:36, 42
11:26:36, 71
11:26:36, 84
11:26:36, 86
11:26:36, 70
11:26:36, 25
11:26:36, 18
11:26:36, 34
11:26:36, 40
11:26:36, 22
11:26:36, 24
11:26:36, 33
11:26:36, 27
11:26:36, 53
11:26:36, 59
11:26:36, 12
11:26:36, -3
11:26:36, 34
11:26:36, 51
11:26:36, 16
11:26:36, 7
11:26:36, 59
11:26:36, 96
11:26:36, 92
11:26:36, 74
11:26:36, 32
11:26:36, 13
11:26:36, 72
11:26:36, 130
11:26:36, 115
11:26:36, 70
11:26:36, 71
11:26:36, 88
11:26:36, 118
11:26:36, 166
11:26:36, 168
11:26:36, 134
11:26:36, 131
11:26:36, 137
11:26:36, 104
11:26:36, 58
11:26:36, 54
11:26:36, 68
11:26:36, 92
11:26:36, 116
11:26:36, 102
11:26:36, 52
11:26:36, 32
11:26:36, 37
11:26:36, 41
11:26:36, 41
11:26:36, 64
11:26:36, 77
11:26:36, 64
11:26:36, 54
11:26:36, 45
11:26:36, 18
11:26:36, -1
11:26:36, 24
11:26:36, 38
11:26:36, 8
11:26:36, -1
11:26:36, 27
11:26:36, 45
11:26:36, 59
11:26:36, 69
11:26:36, 39
11:26:36, 11
11:26:36, 44
11:26:36, 90
11:26:36, 70
11:26:36, 10
11:26:36, -9
11:26:36, -1
11:26:36, 29
11:26:36, 66
11:26:36, 34
11:26:36, -24
11:26:36, -13
11:26:36, 29
11:26:36, 23
11:26:36, -12
11:26:36, -1
11:26:36, 17
11:26:36, 10
11:26:36, 11
11:26:36, 26
11:26:36, 21
11:26:36, 38
11:26:36, 69
11:26:36, 55
11:26:36, 1
11:26:36, -8
11:26:36, 27
11:26:36, 64
11:26:36, 83
11:26:36, 76
11:26:36, 12
11:26:36, -14
11:26:36, 37
11:26:36, 88
11:26:36, 77
11:26:36, 51
11:26:36, 42
11:26:36, 49
11:26:36, 68
11:26:36, 92
11:26:36, 84
11:26:36, 64
11:26:36, 83
11:26:36, 86
11:26:36, 39
11:26:36, 24
11:26:36, 55
11:26:36, 59
11:26:36, 60
11:26:36, 81
11:26:36, 64
11:26:36, 21
11:26:36, 34
11:26:36, 56
11:26:36, 38
11:26:36, 10
11:26:36, 27
11:26:36, 53
11:26:36, 66
11:26:36, 83
11:26:36, 61
11:26:36, 24
11:26:36, 19
11:26:36, 45
11:26:36, 60
11:26:36, 38
11:26:36, 32
11:26:36, 43
11:26:36, 53
11:26:36, 87
11:26:36, 96
11:26:36, 41
11:26:36, -34
11:26:36, -262
11:26:36, -550
11:26:36, -693
11:26:36, -673
11:26:36, -595
11:26:36, -555
11:26:36, -540
11:26:36, -533
11:26:36, -520
11:26:36, -452
11:26:36, -300
11:26:36, -154
11:26:36, -77
11:26:36, -57
11:26:36, -28
11:26:36, -25
11:26:36, -43
11:26:36, -45
11:26:36, -46
11:26:36, -40
11:26:36, 25
11:26:36, 121
11:26:36, 177
11:26:36, 188
11:26:36, 204
11:26:36, 221
11:26:36, 230
11:26:36, 252
11:26:36, 262
11:26:36, 233
11:26:36, 233
11:26:36, 292
11:26:36, 310
11:26:36, 262
11:26:36, 216
11:26:36, 220
11:26:36, 252
11:26:36, 281
11:26:36, 264
11:26:36, 203
11:26:36, 195
11:26:36, 240
11:26:36, 240
11:26:36, 198
11:26:36, 178
11:26:36, 192
11:26:36, 182
11:26:36, 150
11:26:36, 131
11:26:36, 114
11:26:36, 102
11:26:36, 135
11:26:36, 169
11:26:36, 150
11:26:36, 104
11:26:36, 91
11:26:36, 105
11:26:36, 128
11:26:36, 149
11:26:36, 135
11:26:36, 97
11:26:36, 109
11:26:36, 149
11:26:36, 145
11:26:36, 108
11:26:36, 98
11:26:36, 124
11:26:36, 160
11:26:36, 172
11:26:36, 144
11:26:36, 86
11:26:36, 87
11:26:36, 154
11:26:36, 169
11:26:36, 107
11:26:36, 69
11:26:36, 82
11:26:36, 114
11:26:36, 154
11:26:36, 156
11:26:36, 88
11:26:36, 42
11:26:36, 71
11:26:36, 102
11:26:36, 83
11:26:36, 53
11:26:36, 40
11:26:36, 35
11:26:36, 48
11:26:36, 57
11:26:36, 34
11:26:36, 4
11:26:36, 6
11:26:36, 2
11:26:36, -27
11:26:36, -38
11:26:36, -1
11:26:36, 22
11:26:36, 21
11:26:36, 33
11:26:36, 28
11:26:36, 6
11:26:36, 41
11:26:36, 103
11:26:36, 104
11:26:36, 64
11:26:36, 56
11:26:36, 91
11:26:36, 128
11:26:36, 147
11:26:36, 134
11:26:36, 81
11:26:36, 57
11:26:36, 85
11:26:36, 101
11:26:36, 80
11:26:36, 73
11:26:36, 104
11:26:36, 136
11:26:36, 169
11:26:36, 173
11:26:36, 134
11:26:36, 122
11:26:36, 160
11:26:36, 169
11:26:36, 134
11:26:36, 80
11:26:36, 66
11:26:36, 87
11:26:36, 118
11:26:36, 120
11:26:36, 67
11:26:36, 7
11:26:36, 22
11:26:36, 66
11:26:36, 81
11:26:36, 57
11:26:36, 52
11:26:36, 58
11:26:36, 57
11:26:36, 53
11:26:36, 42
11:26:36, 34
11:26:36, 51
11:26:36, 57
11:26:36, 17
11:26:36, -35
11:26:36, -17
11:26:36, 17
11:26:36, 23
11:26:36, 34
11:26:36, 29
11:26:36, -4
11:26:36, 16
11:26:36, 83
11:26:36, 91
11:26:36, 37
11:26:36, -20
11:26:36, -45
11:26:36, -50
11:26:36, -11
11:26:36, 28
11:26:36, 12
11:26:36, -5
11:26:36, 20
11:26:36, 40
11:26:36, 27
11:26:36, 8
11:26:36, -1
11:26:36, -25
11:26:36, -18
11:26:36, 32
11:26:36, 41
11:26:36, 4
11:26:36, 1
11:26:36, 11
11:26:36, 8
11:26:36, 0
11:26:36, 17
11:26:36, 36
11:26:36, 53
11:26:36, 67
11:26:36, 20
11:26:36, -49
11:26:36, -39
11:26:36, -2
11:26:36, -4
11:26:36, -40
11:26:36, -34
11:26:36, -9
11:26:36, -1
11:26:36, 24
11:26:36, 39
11:26:36, 12
11:26:36, 26
11:26:36, 82
11:26:36, 74
11:26:36, 17
11:26:36, 9
11:26:36, 41
11:26:36, 52
11:26:36, 44
11:26:36, 40
11:26:36, 17
11:26:36, 5
11:26:36, 18
11:26:36, -21
11:26:37, -83
11:26:37, -98
11:26:37, -55
11:26:37, -4
11:26:37, 42
11:26:37, 59
11:26:37, 17
11:26:37, -25
11:26:37, 6
11:26:37, 66
11:26:37, 75
11:26:37, 48
11:26:37, 37
11:26:37, 38
11:26:37, 43
11:26:37, 67
11:26:37, 52
11:26:37, 23
11:26:37, 44
11:26:37, 92
11:26:37, 88
11:26:37, 27
11:26:37, 6
11:26:37, 25
11:26:37, 36
11:26:37, 32
11:26:37, 13
11:26:37, -22
11:26:37, 2
11:26:37, 76
11:26:37, 103
11:26:37, 65
11:26:37, 55
11:26:37, 96
11:26:37, 121
11:26:37, 148
11:26:37, 173
11:26:37, 147
11:26:37, 104
11:26:37, 116
11:26:37, 128
11:26:37, 102
11:26:37, 80
11:26:37, 86
11:26:37, 86
11:26:37, 96
11:26:37, 119
11:26:37, 93
11:26:37, 52
11:26:37, 68
11:26:37, 89
11:26:37, 68
11:26:37, 27
11:26:37, 29
11:26:37, 61
11:26:37, 106
11:26:37, 148
11:26:37, 145
11:26:37, 103
11:26:37, 106
11:26:37, 129
11:26:37, 112
11:26:37, 65
11:26:37, 59
11:26:37, 72
11:26:37, 75
11:26:37, 91
11:26:37, 92
11:26:37, 50
11:26:37, 27
11:26:37, 60
11:26:37, 72
